Unnamed: 0,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA,area_general,subcampo,CVE_AREA_CONOCIMIENTO,DESC_AREA_CONOCIMIENTO,ID_CAMPO,CVE_CAMPO,DESC_CAMPO,similitud
4,5,1692,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS FISIOLÓGICAS,Ciencias Naturales,Ciencias,8,Ingenierías y Desarrollo Tecnológico,205,70,CIENCIAS TECNOLÓGICAS,72.72727272727273
4,5,1692,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS FISIOLÓGICAS,Ciencias Naturales,Ciencias,8,Ingenierías y Desarrollo Tecnológico,205,70,CIENCIAS TECNOLÓGICAS,72.72727272727273
5,6,2854,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS MICROBIOLOGÍA,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,59.25925925925925
6,7,536,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS QUÍMICAS,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,69.38775510204081
6,7,536,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS QUÍMICAS,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,69.38775510204081
6,7,536,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS QUÍMICAS,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,69.38775510204081
6,7,536,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS QUÍMICAS,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,69.38775510204081
6,7,536,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS QUÍMICAS,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,69.38775510204081
6,7,536,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS QUÍMICAS,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,69.38775510204081
6,7,536,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS QUÍMICAS,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,69.38775510204081
