,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA
72,73,1518,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN SOCIOLOGIA
73,74,7434,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN TECNOLOGÍAS AGRÍCOLAS LIMPIAS
74,75,5878,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN TECNOLOGÍAS EN MATERIALES AVANZADOS
75,76,5896,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,"MAESTRÍA EN TERRITORIO, TURISMO Y PATRIMONIO"
76,77,5579,QUERÉTARO,"CENTRO DE INGENIERIA Y DESARROLLO 
INDUSTRIAL",DOCTORADO INTERINSTITUCIONAL EN CIENCIA Y TECNOLOGÍA
77,78,5284,QUERÉTARO,"CENTRO DE INGENIERIA Y DESARROLLO 
INDUSTRIAL",ESPECIALIDAD TECNÓLOGO EN MECATRÓNICA
78,79,1797,QUERÉTARO,"CENTRO DE INGENIERIA Y DESARROLLO 
INDUSTRIAL",POSGRADO INTERINSTITUCIONAL EN CIENCIA Y TECNOLOGÍA
79,80,1887,YUCATÁN,"CENTRO DE INVESTIGACION CIENTIFICA DE 
YUCATAN AC",DOCTORADO EN CIENCIAS: CIENCIAS BIOLÓGICAS
80,81,2973,YUCATÁN,"CENTRO DE INVESTIGACION CIENTIFICA DE 
YUCATAN AC",DOCTORADO EN CIENCIAS: ENERGÍA RENOVABLE
81,82,1726,YUCATÁN,"CENTRO DE INVESTIGACION CIENTIFICA DE 
YUCATAN AC",DOCTORADO EN CIENCIAS: MATERIALES POLIMERICOS
82,83,3065,QUINTANA ROO,"CENTRO DE INVESTIGACION CIENTIFICA DE 
YUCATAN AC",MAESTRÍA EN CIENCIAS DEL AGUA
83,84,1888,YUCATÁN,"CENTRO DE INVESTIGACION CIENTIFICA DE 
YUCATAN AC",MAESTRÍA EN CIENCIAS: CIENCIAS BIOLÓGICAS
84,85,584,YUCATÁN,"CENTRO DE INVESTIGACION CIENTIFICA DE 
YUCATAN AC",MAESTRÍA EN CIENCIAS: ENERGÍA RENOVABLE
85,86,1725,YUCATÁN,"CENTRO DE INVESTIGACION CIENTIFICA DE 
YUCATAN AC",MAESTRÍA EN CIENCIAS: MATERIALES POLIMÉRICOS
86,87,325,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",DOCTORADO EN CIENCIAS DE LA TIERRA
87,88,2321,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",DOCTORADO EN CIENCIAS EN ACUÍCULTURA
88,89,1404,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",DOCTORADO EN CIENCIAS EN CIENCIAS DE LA COMPUTACIÓN
89,90,2241,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",DOCTORADO EN CIENCIAS EN CIENCIAS DE LA VIDA
90,91,116,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",DOCTORADO EN CIENCIAS EN ECOLOGÍA MARINA
91,92,54,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",DOCTORADO EN CIENCIAS EN ELECTRÓNICA Y TELECOMUNICACIONES
92,93,275,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",DOCTORADO EN CIENCIAS EN NANOCIENCIAS
93,94,169,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",DOCTORADO EN CIENCIAS EN OCEANOGRAFÍA FÍSICA
94,95,224,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",DOCTORADO EN ÓPTICA
95,96,320,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",MAESTRÍA EN CIENCIAS DE LA TIERRA
96,97,2320,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",MAESTRÍA EN CIENCIAS EN ACUICULTURA
97,98,295,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",MAESTRÍA EN CIENCIAS EN CIENCIAS DE LA COMPUTACIÓN
98,99,2240,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",MAESTRÍA EN CIENCIAS EN CIENCIAS DE LA VIDA
99,100,115,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",MAESTRÍA EN CIENCIAS EN ECOLOGÍA MARINA
100,101,53,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",MAESTRÍA EN CIENCIAS EN ELECTRÓNICA Y TELECOMUNICACIONES
101,102,276,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",MAESTRÍA EN CIENCIAS EN NANOCIENCIAS
102,103,166,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",MAESTRÍA EN CIENCIAS EN OCEANOGRAFÍA FÍSICA
103,104,223,BAJA CALIFORNIA,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",MAESTRÍA EN CIENCIAS EN ÓPTICA
104,105,6525,NUEVO LEÓN,"CENTRO DE INVESTIGACION CIENTIFICA Y DE 
EDUCACION SUPERIOR DE ENSENADA, BAJA 
CALIFORNIA.",MAESTRÍA EN TECNOLOGÍAS AVANZADAS E INTEGRADAS
105,106,1568,SONORA,"CENTRO DE INVESTIGACION EN ALIMENTACION Y 
DESARROLLO AC",DOCTORADO EN CIENCIAS
106,107,3750,SONORA,"CENTRO DE INVESTIGACION EN ALIMENTACION Y 
DESARROLLO AC",DOCTORADO EN DESARROLLO REGIONAL
107,108,80,SONORA,"CENTRO DE INVESTIGACION EN ALIMENTACION Y 
DESARROLLO AC",MAESTRÍA EN CIENCIAS
108,109,1567,SONORA,"CENTRO DE INVESTIGACION EN ALIMENTACION Y 
DESARROLLO AC",MAESTRÍA EN DESARROLLO REGIONAL
109,110,5719,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION EN GEOGRAFIA Y 
GEOMATICA INGENIERO JORGE L TAMAYO AC",DOCTORADO EN CIENCIAS DE INFORMACIÓN GEOESPACIAL
110,111,1558,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION EN GEOGRAFIA Y 
GEOMATICA INGENIERO JORGE L TAMAYO AC",ESPECIALIDAD EN GEOMÁTICA
111,112,5720,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION EN GEOGRAFIA Y 
GEOMATICA INGENIERO JORGE L TAMAYO AC",MAESTRÍA EN CIENCIAS DE INFORMACIÓN GEOESPACIAL
112,113,153,GUANAJUATO,CENTRO DE INVESTIGACION EN MATEMATICAS AC,DOCTORADO EN CIENCIAS
113,114,1739,GUANAJUATO,CENTRO DE INVESTIGACION EN MATEMATICAS AC,MAESTRÍA EN CIENCIAS
114,115,1738,GUANAJUATO,CENTRO DE INVESTIGACION EN MATEMATICAS AC,"MAESTRÍA EN CIENCIAS CON ESPECIALIDAD EN COMPUTACIÓN Y MATEMÁTICAS 
INDUSTRIALES"
115,116,155,GUANAJUATO,CENTRO DE INVESTIGACION EN MATEMATICAS AC,MAESTRÍA EN CIENCIAS CON ESPECIALIDAD EN PROBABILIDAD Y ESTADÍSTICA
116,117,6654,ZACATECAS,CENTRO DE INVESTIGACION EN MATEMATICAS AC,MAESTRÍA EN CIENCIAS CON ORIENTACIÓN EN ROBÓTICA
117,118,5397,NUEVO LEÓN,CENTRO DE INVESTIGACION EN MATEMATICAS AC,MAESTRÍA EN CÓMPUTO ESTADÍSTICO
118,119,2189,ZACATECAS,CENTRO DE INVESTIGACION EN MATEMATICAS AC,MAESTRÍA EN INGENIERÍA DE SOFTWARE
119,120,5395,AGUASCALIENTES,CENTRO DE INVESTIGACION EN MATEMATICAS AC,MAESTRÍA EN MODELACIÓN Y OPTIMIZACIÓN DE PROCESOS
120,121,1296,CHIHUAHUA,"CENTRO DE INVESTIGACION EN MATERIALES 
AVANZADOS SC",DOCTORADO EN CIENCIA DE MATERIALES
121,122,1826,CHIHUAHUA,"CENTRO DE INVESTIGACION EN MATERIALES 
AVANZADOS SC",DOCTORADO EN CIENCIA Y TECNOLOGÍA AMBIENTAL
122,123,3051,NUEVO LEÓN,"CENTRO DE INVESTIGACION EN MATERIALES 
AVANZADOS SC",DOCTORADO EN NANOTECNOLOGÍA
123,124,777,CHIHUAHUA,"CENTRO DE INVESTIGACION EN MATERIALES 
AVANZADOS SC",MAESTRÍA EN CIENCIA DE MATERIALES
124,125,1804,CHIHUAHUA,"CENTRO DE INVESTIGACION EN MATERIALES 
AVANZADOS SC",MAESTRÍA EN CIENCIA Y TECNOLOGÍA AMBIENTAL
125,126,1776,COAHUILA,"CENTRO DE INVESTIGACION EN QUIMICA 
APLICADA, A.C.",DOCTORADO EN TECNOLOGÍA DE POLÍMEROS
126,127,1784,COAHUILA,"CENTRO DE INVESTIGACION EN QUIMICA 
APLICADA, A.C.",ESPECIALIZACIÓN EN QUÍMICA APLICADA
