,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA
400,401,2889,MORELOS,INSTITUTO NACIONAL DE SALUD PUBLICA,MAESTRÍA EN NUTRICIÓN CLÍNICA
401,402,425,MORELOS,INSTITUTO NACIONAL DE SALUD PUBLICA,MAESTRÍA EN SALUD PÚBLICA
402,403,3898,TLAXCALA,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN BIOTECNOLOGÍA PRODUCTIVA
403,404,6957,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIA Y TECNOLOGÍA DE VACUNAS Y BIOTERAPÉUTICOS
404,405,1705,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS CON ESPECIALIDAD EN ALIMENTOS
405,406,1624,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS DE LA COMPUTACIÓN
406,407,1879,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS ECONÓMICAS
407,408,3259,MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN ARQUITECTURA Y URBANISMO
408,409,1425,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN BIOMEDICINA Y BIOTECNOLOGÍA MOLECULAR
409,410,653,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN BIOPROCESOS
410,411,2192,TLAXCALA,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN BIOTECNOLOGÍA
411,412,3681,MORELOS,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN CONSERVACIÓN DEL PATRIMONIO PAISAJÍSTICO
412,413,821,OAXACA,INSTITUTO POLITECNICO NACIONAL,"DOCTORADO EN CIENCIAS EN CONSERVACIÓN Y APROVECHAMIENTO DE RECURSOS 
NATURALES"
413,414,221,MORELOS,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN DESARROLLO DE PRODUCTOS BIÓTICOS
414,415,6386,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN ESTUDIOS AMBIENTALES Y DE LA SUSTENTABILIDAD
415,416,5974,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN FÍSICA EDUCATIVA
416,417,6405,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN INGENIERÍA DE TELECOMUNICACIONES
417,418,6204,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN INGENIERÍA ELÉCTRICA
418,419,1761,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN INGENIERÍA MECÁNICA
419,420,550,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN INGENIERÍA QUÍMICA
420,421,1537,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN INMUNOLOGÍA
421,422,5399,MORELOS,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN MANEJO AGROECOLÓGICO DE PLAGAS Y ENFERMEDADES
422,423,457,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN METALURGÍA Y MATERIALES
423,424,2919,BAJA CALIFORNIA,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN SISTEMAS DIGITALES
424,425,6381,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS EN TERMOFLUIDOS
425,426,2236,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS FISICOMATEMÁTICAS
426,427,1516,"BAJA CALIFORNIA 
SUR",INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS MARINAS
427,428,1432,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN CIENCIAS QUIMICOBIOLÓGICAS
428,429,1435,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN COMUNICACIONES Y ELECTRÓNICA
429,430,5573,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN ENERGÍA
430,431,680,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN FÍSICA DE LOS MATERIALES
431,432,5381,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN GESTIÓN Y POLÍTICAS DE INNOVACIÓN
432,433,557,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN INGENIERÍA DE SISTEMAS
433,434,4272,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN INGENIERÍA DE SISTEMAS ROBÓTICOS Y MECATRÓNICOS
434,435,6278,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN INNOVACIÓN EN AMBIENTES LOCALES
435,436,585,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN INVESTIGACIÓN EN MEDICINA
436,437,5025,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN NANOCIENCIAS Y MICRO-NANOTECNOLOGÍAS
437,438,1406,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN TECNOLOGÍA AVANZADA
438,439,5116,TAMAULIPAS,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN TECNOLOGÍA AVANZADA
439,440,840,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN TECNOLOGÍA AVANZADA
440,441,2906,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN TECNOLOGÍA AVANZADA
441,442,422,QUERÉTARO,INSTITUTO POLITECNICO NACIONAL,DOCTORADO EN TECNOLOGÍA AVANZADA
442,443,6132,GUANAJUATO,INSTITUTO POLITECNICO NACIONAL,ESPECIALIDAD EN INGENIERÍA PARA EL DESARROLLO DE SISTEMAS DE MANUFACTURA
443,444,7021,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,ESPECIALIDAD EN SEGURIDAD INFORMÁTICA Y TECNOLOGÍAS DE LA INFORMACIÓN
444,445,5012,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN ADMINISTRACIÓN DE EMPRESAS PARA LA SUSTENTABILIDAD
445,446,2165,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN BIOCIENCIAS
446,447,1533,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN BIOMEDICINA MOLECULAR
447,448,3909,TLAXCALA,INSTITUTO POLITECNICO NACIONAL,MAESTRIA EN BIOTECNOLOGIA PRODUCTIVA
448,449,6958,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIA Y TECNOLOGÍA DE VACUNAS Y BIOTERAPÉUTICOS
449,450,1511,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS DE INGENIERÍA EN MICROELECTRÓNICA
450,451,843,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS DE INGENIERÍA EN SISTEMAS ENERGÉTICOS
451,452,2046,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN
452,453,1941,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS DE LA SALUD
453,454,1878,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS ECONÓMICAS
454,455,1426,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN ALIMENTOS
455,456,2134,MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN ARQUITECTURA Y URBANISMO
456,457,1424,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN BIOMEDICINA Y BIOTECNOLOGÍA MOLECULAR
457,458,645,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN BIOPROCESOS
458,459,461,TAMAULIPAS,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN BIOTECNOLOGÍA GENÓMICA
459,460,1702,OAXACA,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN CONSERVACIÓN Y APROVECHAMIENTO DE RECURSOS NATURALES
460,461,1581,MORELOS,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN DESARROLLO DE PRODUCTOS BIÓTICOS
461,462,2100,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN ESTUDIOS AMBIENTALES Y DE LA SUSTENTABILIDAD
462,463,5014,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,"MAESTRÍA EN CIENCIAS EN ESTUDIOS INTERDISCIPLINARIOS PARA PEQUEÑAS Y MEDIANAS 
EMPRESAS"
463,464,1621,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN FARMACOLOGÍA
464,465,4099,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN FÍSICA EDUCATIVA
465,466,782,DURANGO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN GESTIÓN AMBIENTAL
466,467,711,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,"MAESTRÍA EN CIENCIAS EN INGENIERÍA DE CÓMPUTO CON ESPECIALIDAD EN SISTEMAS 
DIGITALES"
467,468,564,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN INGENIERÍA DE SISTEMAS
468,469,299,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN INGENIERÍA ELÉCTRICA
469,470,456,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN INGENIERÍA METALÚRGICA
470,471,1762,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN INGENIERÍA QUÍMICA
471,472,1260,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN INMUNOLOGÍA
472,473,368,MORELOS,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN MANEJO AGROECOLÓGICO DE PLAGAS Y ENFERMEDADES
473,474,1460,"BAJA CALIFORNIA 
SUR",INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN MANEJO DE RECURSOS MARINOS
474,475,3279,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN METODOLOGÍA DE LA CIENCIA
475,476,2261,MICHOACÁN,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN PRODUCCIÓN AGRÍCOLA SUSTENTABLE
476,477,5039,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN SISTEMAS COMPUTACIONALES MÓVILES
477,478,424,BAJA CALIFORNIA,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN SISTEMAS DIGITALES
478,479,2239,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS FISICOMATEMÁTICAS
479,480,1431,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS QUIMICOBIOLÓGICAS
480,481,6950,MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CONSERVACIÓN Y RESTAURACIÓN ARQUITECTÓNICA
481,482,5847,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN INFORMÁTICA
482,483,5033,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN INGENIERÍA DE MANUFACTURA
483,484,412,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN INGENIERÍA ELECTRÓNICA
484,485,5379,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN INGENIERÍA EN PRODUCCIÓN MÁS LIMPIA
485,486,1968,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN INGENIERÍA EN SEGURIDAD Y TECNOLOGÍAS DE LA INFORMACIÓN
486,487,5558,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN INGENIERÍA INDUSTRIAL
487,488,583,SINALOA,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN RECURSOS NATURALES Y MEDIO AMBIENTE
488,489,6382,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN SOSTENIBILIDAD E INNOVACIÓN EN TECNOLOGÍA AMBIENTAL
489,490,1408,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN TECNOLOGÍA AVANZADA
490,491,1660,TAMAULIPAS,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN TECNOLOGÍA AVANZADA
491,492,837,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN TECNOLOGÍA AVANZADA
492,493,420,QUERÉTARO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN TECNOLOGÍA AVANZADA
493,494,906,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN TECNOLOGÍA AVANZADA
494,495,2119,CIUDAD DE MÉXICO,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN TECNOLOGÍA DE CÓMPUTO
495,496,2210,TLAXCALA,INSTITUTO POLITECNICO NACIONAL,MAESTRÍA EN CIENCIAS EN BIOTECNOLOGÍA APLICADA
496,497,2867,SAN LUIS POTOSÍ,"INSTITUTO POTOSINO DE INVESTIGACION 
CIENTIFICA Y TECNOLOGICA AC",DOCTORADO EN CIENCIAS AMBIENTALES
497,498,1835,SAN LUIS POTOSÍ,"INSTITUTO POTOSINO DE INVESTIGACION 
CIENTIFICA Y TECNOLOGICA AC",DOCTORADO EN CIENCIAS EN BIOLOGÍA MOLECULAR
498,499,2881,SAN LUIS POTOSÍ,"INSTITUTO POTOSINO DE INVESTIGACION 
CIENTIFICA Y TECNOLOGICA AC",DOCTORADO EN CONTROL Y SISTEMAS DINÁMICOS
499,500,2875,SAN LUIS POTOSÍ,"INSTITUTO POTOSINO DE INVESTIGACION 
CIENTIFICA Y TECNOLOGICA AC",DOCTORADO EN GEOCIENCIAS APLICADAS
500,501,2878,SAN LUIS POTOSÍ,"INSTITUTO POTOSINO DE INVESTIGACION 
CIENTIFICA Y TECNOLOGICA AC",DOCTORADO EN NANOCIENCIAS Y MATERIALES
501,502,2866,SAN LUIS POTOSÍ,"INSTITUTO POTOSINO DE INVESTIGACION 
CIENTIFICA Y TECNOLOGICA AC",MAESTRÍA EN CIENCIAS AMBIENTALES
502,503,1834,SAN LUIS POTOSÍ,"INSTITUTO POTOSINO DE INVESTIGACION 
CIENTIFICA Y TECNOLOGICA AC",MAESTRÍA EN CIENCIAS EN BIOLOGÍA MOLECULAR
503,504,2880,SAN LUIS POTOSÍ,"INSTITUTO POTOSINO DE INVESTIGACION 
CIENTIFICA Y TECNOLOGICA AC",MAESTRÍA EN CONTROL Y SISTEMAS DINÁMICOS
504,505,2874,SAN LUIS POTOSÍ,"INSTITUTO POTOSINO DE INVESTIGACION 
CIENTIFICA Y TECNOLOGICA AC",MAESTRÍA EN GEOCIENCIAS APLICADAS
505,506,2877,SAN LUIS POTOSÍ,"INSTITUTO POTOSINO DE INVESTIGACION 
CIENTIFICA Y TECNOLOGICA AC",MAESTRÍA EN NANOCIENCIAS Y MATERIALES
506,507,3230,AGUASCALIENTES,INSTITUTO TECNOLÓGICO DE AGUASCALIENTES,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
507,508,5088,AGUASCALIENTES,INSTITUTO TECNOLÓGICO DE AGUASCALIENTES,MAESTRÍA EN CIENCIAS DE LA INGENIERÍA
508,509,6494,AGUASCALIENTES,INSTITUTO TECNOLÓGICO DE AGUASCALIENTES,MAESTRÍA EN CIENCIAS EN INGENIERÍA AMBIENTAL
509,510,21,AGUASCALIENTES,INSTITUTO TECNOLÓGICO DE AGUASCALIENTES,MAESTRÍA EN CIENCIAS EN INGENIERÍA QUÍMICA
510,511,5622,TLAXCALA,INSTITUTO TECNOLÓGICO DE APIZACO,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
511,512,5072,TLAXCALA,INSTITUTO TECNOLÓGICO DE APIZACO,MAESTRÍA EN INGENIERÍA MECATRÓNICA
512,513,2397,TLAXCALA,INSTITUTO TECNOLÓGICO DE APIZACO,MAESTRÍA EN SISTEMAS COMPUTACIONALES
513,514,6149,VERACRUZ,INSTITUTO TECNOLÓGICO DE BOCA DEL RÍO,DOCTORADO EN CIENCIAS AMBIENTALES
514,515,5071,VERACRUZ,INSTITUTO TECNOLÓGICO DE BOCA DEL RÍO,MAESTRÍA EN CIENCIAS EN INGENIERÍA AMBIENTAL
515,516,4497,GUANAJUATO,INSTITUTO TECNOLÓGICO DE CELAYA,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
516,517,3365,GUANAJUATO,INSTITUTO TECNOLÓGICO DE CELAYA,DOCTORADO EN CIENCIAS EN INGENIERÍA BIOQUÍMICA
517,518,5620,GUANAJUATO,INSTITUTO TECNOLÓGICO DE CELAYA,DOCTORADO EN CIENCIAS EN INGENIERÍA ELECTRÓNICA
518,519,532,GUANAJUATO,INSTITUTO TECNOLÓGICO DE CELAYA,DOCTORADO EN CIENCIAS EN INGENIERÍA QUÍMICA
519,520,1819,GUANAJUATO,INSTITUTO TECNOLÓGICO DE CELAYA,MAESTRÍA EN CIENCIAS EN INGENIERÍA BIOQUÍMICA
520,521,1917,GUANAJUATO,INSTITUTO TECNOLÓGICO DE CELAYA,MAESTRÍA EN CIENCIAS EN INGENIERÍA ELECTRÓNICA
521,522,1773,GUANAJUATO,INSTITUTO TECNOLÓGICO DE CELAYA,MAESTRÍA EN CIENCIAS EN INGENIERÍA MECÁNICA
522,523,6438,GUANAJUATO,INSTITUTO TECNOLÓGICO DE CELAYA,MAESTRÍA EN CIENCIAS EN INGENIERÍA MECATRÓNICA
523,524,531,GUANAJUATO,INSTITUTO TECNOLÓGICO DE CELAYA,MAESTRÍA EN CIENCIAS EN INGENIERÍA QUÍMICA
524,525,1820,GUANAJUATO,INSTITUTO TECNOLÓGICO DE CELAYA,MAESTRÍA EN INGENIERÍA INDUSTRIAL
525,526,6437,QUINTANA ROO,INSTITUTO TECNOLÓGICO DE CHETUMAL,DOCTORADO EN CIENCIAS AMBIENTALES
526,527,7288,QUINTANA ROO,INSTITUTO TECNOLÓGICO DE CHETUMAL,MAESTRÍA EN CIENCIAS EN ECOSISTEMAS TROPICALES
527,528,6236,QUINTANA ROO,INSTITUTO TECNOLÓGICO DE CHETUMAL,MAESTRÍA EN URBANISMO
528,529,5306,CHIHUAHUA,INSTITUTO TECNOLÓGICO DE CHIHUAHUA,DOCTORADO EN CIENCIAS EN INGENIERÍA ELECTRÓNICA
529,530,2036,CHIHUAHUA,INSTITUTO TECNOLÓGICO DE CHIHUAHUA,MAESTRÍA EN CIENCIAS EN INGENIERÍA ELECTRÓNICA
530,531,5815,CAMPECHE,INSTITUTO TECNOLÓGICO DE CHINÁ,MAESTRÍA EN CIENCIAS EN AGROECOSISTEMAS SOSTENIBLES
531,532,5412,JALISCO,INSTITUTO TECNOLÓGICO DE CIUDAD GUZMÁN,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN
532,533,2502,JALISCO,INSTITUTO TECNOLÓGICO DE CIUDAD GUZMÁN,MAESTRÍA EN INGENIERÍA ELECTRÓNICA
533,534,5410,CHIHUAHUA,INSTITUTO TECNOLÓGICO DE CIUDAD JUÁREZ,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
534,535,1199,CHIHUAHUA,INSTITUTO TECNOLÓGICO DE CIUDAD JUÁREZ,MAESTRÍA EN INGENIERÍA ADMINISTRATIVA
535,536,5597,TAMAULIPAS,INSTITUTO TECNOLÓGICO DE CIUDAD MADERO,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
536,537,3659,TAMAULIPAS,INSTITUTO TECNOLÓGICO DE CIUDAD MADERO,DOCTORADO EN CIENCIAS EN MATERIALES
537,538,1818,TAMAULIPAS,INSTITUTO TECNOLÓGICO DE CIUDAD MADERO,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN
538,539,5855,TAMAULIPAS,INSTITUTO TECNOLÓGICO DE CIUDAD MADERO,MAESTRÍA EN CIENCIAS DE LA INGENIERÍA
539,540,1816,TAMAULIPAS,INSTITUTO TECNOLÓGICO DE CIUDAD MADERO,MAESTRÍA EN CIENCIAS EN INGENIERÍA QUÍMICA
540,541,2404,TAMAULIPAS,INSTITUTO TECNOLÓGICO DE CIUDAD MADERO,MAESTRÍA EN INGENIERÍA ELÉCTRICA
541,542,3351,TAMAULIPAS,INSTITUTO TECNOLÓGICO DE CIUDAD VICTORIA,DOCTORADO EN CIENCIAS EN BIOLOGÍA
542,543,6805,TAMAULIPAS,INSTITUTO TECNOLÓGICO DE CIUDAD VICTORIA,MAESTRÍA EN SISTEMAS COMPUTACIONALES
543,544,3952,COLIMA,INSTITUTO TECNOLÓGICO DE COLIMA,MAESTRÍA EN SISTEMAS COMPUTACIONALES
544,545,2575,YUCATÁN,INSTITUTO TECNOLÓGICO DE CONKAL,DOCTORADO EN CIENCIAS EN AGRICULTURA TROPICAL SUSTENTABLE
545,546,1974,YUCATÁN,INSTITUTO TECNOLÓGICO DE CONKAL,MAESTRÍA EN CIENCIAS EN HORTICULTURA TROPICAL
546,547,1947,YUCATÁN,INSTITUTO TECNOLÓGICO DE CONKAL,MAESTRÍA EN CIENCIAS EN PRODUCCIÓN PECUARIA TROPICAL
547,548,5075,SINALOA,INSTITUTO TECNOLÓGICO DE CULIACÁN,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
548,549,3195,SINALOA,INSTITUTO TECNOLÓGICO DE CULIACÁN,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN
549,550,3960,SINALOA,INSTITUTO TECNOLÓGICO DE CULIACÁN,MAESTRÍA EN CIENCIAS DE LA INGENIERÍA
550,551,858,DURANGO,INSTITUTO TECNOLÓGICO DE DURANGO,DOCTORADO EN CIENCIAS EN INGENIERÍA BIOQUÍMICA
551,552,1573,DURANGO,INSTITUTO TECNOLÓGICO DE DURANGO,MAESTRÍA EN CIENCIAS EN INGENIERÍA BIOQUÍMICA
552,553,5813,DURANGO,INSTITUTO TECNOLÓGICO DE DURANGO,MAESTRÍA EN CIENCIAS Y TECNOLOGÍA DE ALIMENTOS FUNCIONALES
553,554,5809,DURANGO,INSTITUTO TECNOLÓGICO DE DURANGO,MAESTRÍA EN INGENIERÍA
554,555,3666,DURANGO,INSTITUTO TECNOLÓGICO DE DURANGO,MAESTRÍA EN SISTEMAS AMBIENTALES
555,556,5327,AGUASCALIENTES,"INSTITUTO TECNOLÓGICO DE EL LLANO 
AGUASCALIENTES",DOCTORADO EN CIENCIAS EN BIOTECNOLOGÍA EN PROCESOS AGROPECUARIOS
556,557,780,AGUASCALIENTES,"INSTITUTO TECNOLÓGICO DE EL LLANO 
AGUASCALIENTES",MAESTRÍA EN CIENCIAS EN BIOTECNOLOGÍA AGROPECUARIA
557,558,6148,DURANGO,INSTITUTO TECNOLÓGICO DE EL SALTO,MAESTRÍA EN INGENIERÍA FORESTAL
558,559,4351,SONORA,INSTITUTO TECNOLÓGICO DE HERMOSILLO,MAESTRÍA EN INGENIERÍA ELECTRÓNICA
559,560,794,COAHUILA,INSTITUTO TECNOLÓGICO DE LA LAGUNA,DOCTORADO EN CIENCIAS EN INGENIERÍA ELÉCTRICA
560,561,1742,COAHUILA,INSTITUTO TECNOLÓGICO DE LA LAGUNA,MAESTRÍA EN CIENCIAS EN INGENIERÍA ELÉCTRICA
561,562,5814,QUINTANA ROO,INSTITUTO TECNOLÓGICO DE LA ZONA MAYA,MAESTRÍA EN CIENCIAS EN AGROECOSISTEMAS SOSTENIBLES
562,563,251,GUANAJUATO,INSTITUTO TECNOLÓGICO DE LEÓN,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN
563,564,6057,YUCATÁN,INSTITUTO TECNOLÓGICO DE MÉRIDA,DOCTORADO EN CIENCIAS DE LOS ALIMENTOS Y BIOTECNOLOGÍA
564,565,2345,YUCATÁN,INSTITUTO TECNOLÓGICO DE MÉRIDA,MAESTRÍA EN CIENCIAS DE LOS ALIMENTOS Y BIOTECNOLOGÍA
565,566,5817,YUCATÁN,INSTITUTO TECNOLÓGICO DE MÉRIDA,MAESTRÍA EN INGENIERÍA
566,567,5415,MICHOACÁN,INSTITUTO TECNOLÓGICO DE MORELIA,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
567,568,180,MICHOACÁN,INSTITUTO TECNOLÓGICO DE MORELIA,DOCTORADO EN CIENCIAS EN INGENIERÍA ELÉCTRICA
568,569,178,MICHOACÁN,INSTITUTO TECNOLÓGICO DE MORELIA,MAESTRÍA EN CIENCIAS EN INGENIERÍA ELÉCTRICA
569,570,5619,MICHOACÁN,INSTITUTO TECNOLÓGICO DE MORELIA,MAESTRÍA EN CIENCIAS EN INGENIERÍA ELECTRÓNICA
570,571,5098,MICHOACÁN,INSTITUTO TECNOLÓGICO DE MORELIA,MAESTRÍA EN CIENCIAS EN METALURGIA
571,572,5409,NUEVO LEÓN,INSTITUTO TECNOLÓGICO DE NUEVO LEÓN,MAESTRÍA EN INGENIERÍA
572,573,378,OAXACA,INSTITUTO TECNOLÓGICO DE OAXACA,DOCTORADO EN CIENCIAS EN DESARROLLO REGIONAL Y TECNOLÓGICO
573,574,379,OAXACA,INSTITUTO TECNOLÓGICO DE OAXACA,MAESTRÍA EN CIENCIAS EN DESARROLLO REGIONAL Y TECNOLÓGICO
574,575,3109,VERACRUZ,INSTITUTO TECNOLÓGICO DE ORIZABA,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
575,576,1823,VERACRUZ,INSTITUTO TECNOLÓGICO DE ORIZABA,MAESTRÍA EN CIENCIAS EN INGENIERÍA QUÍMICA
576,577,2480,VERACRUZ,INSTITUTO TECNOLÓGICO DE ORIZABA,MAESTRÍA EN INGENIERÍA ELECTRÓNICA
577,578,1171,VERACRUZ,INSTITUTO TECNOLÓGICO DE ORIZABA,MAESTRÍA EN INGENIERÍA INDUSTRIAL
